speaker,condition,gender,session,sample_id,ground_truth,whisper_raw,character_corrected,character_metric_label,wer_before,wer_after,cer_before,cer_after
M01,dysarthric,male,Session2_3,torgo_006837,delta,bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear,bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear,METRIC_MISSED_REMAINING_ERROR,64.0,64.0,46.4,46.4
FC03,control,female,Session1,torgo_005253,xxx,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,METRIC_MISSED_REMAINING_ERROR,7.0,7.0,42.333333333333336,42.333333333333336
FC03,control,female,Session3,torgo_006378,pat,patteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatte,patteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatteatte,METRIC_MISSED_REMAINING_ERROR,1.0,1.0,42.0,42.0
MC02,control,male,Session1,torgo_012797,pat,patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe pat,patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe pat,METRIC_MISSED_REMAINING_ERROR,7.0,7.0,42.0,42.0
MC02,control,male,Session1,torgo_012562,pat,patteatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatat,patteatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatatat,METRIC_MISSED_REMAINING_ERROR,1.0,1.0,42.0,42.0
MC02,control,male,Session2,torgo_013482,zip,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,METRIC_MISSED_REMAINING_ERROR,1.0,1.0,41.666666666666664,41.666666666666664
FC03,control,female,Session2,torgo_005836,xxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,METRIC_MISSED_REMAINING_ERROR,1.0,1.0,40.666666666666664,40.666666666666664
FC03,control,female,Session1,torgo_005153,xxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,METRIC_MISSED_REMAINING_ERROR,1.0,1.0,40.666666666666664,40.666666666666664
FC03,control,female,Session2,torgo_006064,xxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,METRIC_MISSED_REMAINING_ERROR,1.0,1.0,40.333333333333336,40.333333333333336
FC03,control,female,Session2,torgo_005679,xxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,METRIC_MISSED_REMAINING_ERROR,1.0,1.0,40.333333333333336,40.333333333333336
FC03,control,female,Session1,torgo_005111,xxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,METRIC_MISSED_REMAINING_ERROR,1.0,1.0,40.333333333333336,40.333333333333336
FC03,control,female,Session1,torgo_005155,xxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,METRIC_MISSED_REMAINING_ERROR,1.0,1.0,39.333333333333336,39.333333333333336
FC03,control,female,Session1,torgo_004763,xxx,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,METRIC_MISSED_REMAINING_ERROR,34.0,34.0,37.666666666666664,37.666666666666664
M01,dysarthric,male,Session1,torgo_006589,air,input images story starters 15 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 15 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,METRIC_MISSED_REMAINING_ERROR,34.0,34.0,37.0,37.0
MC02,control,male,Session1,torgo_012981,eight,ateatatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatata,ateatatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatataatata,METRIC_MISSED_REMAINING_ERROR,1.0,1.0,31.6,31.6
MC02,control,male,Session1,torgo_012604,eight,ateatatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatate,ateatatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatateatate,METRIC_MISSED_REMAINING_ERROR,1.0,1.0,31.6,31.6
