speaker,condition,gender,session,sample_id,ground_truth,whisper_raw,character_corrected,word_corrected,sentence_agent_input,sentence_detector_needs_correction,sentence_detector_reason,sentence_raw_output,sentence_corrected,sentence_verifier_reason,sentence_metric_label,wer_before_sentence,wer_after_sentence,cer_before_sentence,cer_after_sentence
M01,dysarthric,male,Session2_3,torgo_006992,witty,reveal yourself to the truth,reveal yourself to the truth,reveal yourself to the truth,reveal yourself to the truth,False,no_sentence_error_detected,,reveal yourself to the truth,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,5.0,5.0,4.4,4.4
FC03,control,female,Session1,torgo_005294,xxx,prepare for the next step,prepare for the next step,prepare for the next step,prepare for the next step,False,no_sentence_error_detected,,prepare for the next step,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,5.0,5.0,6.666666666666667,6.666666666666667
FC03,control,female,Session1,torgo_005195,xxx,how do you pronounce that,how do you pronounce that,how do you pronounce that,how do you pronounce that,False,no_sentence_error_detected,,how do you pronounce that,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,5.0,5.0,7.0,7.0
M01,dysarthric,male,Session2_3,torgo_006837,delta,bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear,bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear,bear with the bear,bear with the bear,False,no_sentence_error_detected,,bear with the bear,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,4.0,4.0,2.4,2.4
M01,dysarthric,male,Session1,torgo_006669,feet,beaten up the beat,beaten up the beat,beaten up the beat,beaten up the beat,False,no_sentence_error_detected,,beaten up the beat,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,4.0,4.0,3.0,3.0
FC03,control,female,Session2,torgo_005979,gill,jell or earring jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg j,jell or earring jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg j,jell or earring j,jell or earring j,False,no_sentence_error_detected,,jell or earring j,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,4.0,4.0,3.0,3.0
FC03,control,female,Session1,torgo_005032,swarm,yes we are swarm,yes we are swarm,yes we are swarm,yes we are swarm,False,no_sentence_error_detected,,yes we are swarm,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,3.0,3.0,1.6,1.6
FC03,control,female,Session1,torgo_004997,two,two oh sorry two,two oh sorry two,two oh sorry two,two oh sorry two,False,no_sentence_error_detected,,two oh sorry two,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,3.0,3.0,3.3333333333333335,3.3333333333333335
FC03,control,female,Session1,torgo_004803,xxx,hadn't had that,hadn't had that,hadn't had that,hadn't had that,False,no_sentence_error_detected,,hadn't had that,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,3.0,3.0,4.333333333333333,4.333333333333333
FC03,control,female,Session2,torgo_005984,input images story starters 31 jpg,there is a skunk in the room with the red floor and a painter painting the walls white,there is a skunk in the room with the red floor and a painter painting the walls white,there is a skunk in the room with the red floor and a painter painting the walls white,there is a skunk in the room with the red floor and a painter painting the walls white,True,long_sentence_or_possible_loop,There is a skunk in the room with the red floor and a painter painting the walls white.,There is a skunk in the room with the red floor and a painter painting the walls white.,unchanged,METRIC_MISSED_REMAINING_ERROR,3.0,3.0,1.9655172413793103,1.9655172413793103
M01,dysarthric,male,Session1,torgo_006668,don't ask me to carry an oily rag like that,the old aggrimit was carryin' all his ragged ragged bagged,the old aggrimit was carryin' all his ragged ragged bagged,the old aggrimit was carryin' all his ragged ragged bagged,the old aggrimit was carryin' all his ragged ragged bagged,True,adjacent_repetition,The old aggrimit was carrying all his ragged ragged bags.,The old aggrimit was carrying all his ragged ragged bags.,accepted_by_verifier,METRIC_UNCHANGED_AFTER_CHANGE,1.0,1.0,1.0,0.9411764705882353
