speaker,condition,gender,session,sample_id,ground_truth,whisper_raw,character_corrected,word_agent_input,word_corrected,word_metric_label,wer_before_word,wer_after_word,cer_before_word,cer_after_word
M01,dysarthric,male,Session2_3,torgo_007204,thorn,jorn jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,jorn jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,jorn jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,jorn,METRIC_IMPROVED,32.0,1.0,19.0,0.4
M01,dysarthric,male,Session1,torgo_006624,weed,weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep,weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep,weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep,weep,METRIC_IMPROVED,32.0,1.0,31.25,0.25
M01,dysarthric,male,Session2_3,torgo_007114,nothing is as offensive as innocence,nising is as offensive as innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is,nising is as offensive as innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is,nising is as offensive as innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is innocent is,nising is as offensive as innocent is,METRIC_IMPROVED,9.833333333333334,0.5,9.161290322580646,0.1935483870967742
M01,dysarthric,male,Session2_3,torgo_006850,they carried me off on the stretcher,they carried me up and under the chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair,they carried me up and under the chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair,they carried me up and under the chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair chair,they carried me up and under the chair chair,METRIC_IMPROVED,8.571428571428571,0.7142857142857143,9.666666666666666,0.5333333333333333
MC02,control,male,Session1,torgo_012733,input images kitchen jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,22,METRIC_IMPROVED,7.75,1.0,4.619047619047619,1.0
FC03,control,female,Session1,torgo_004990,input images kitchen jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,22,METRIC_IMPROVED,7.75,1.0,4.619047619047619,1.0
FC03,control,female,Session1,torgo_004600,input images kitchen jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,22,METRIC_IMPROVED,7.75,1.0,4.619047619047619,1.0
MC02,control,male,Session1,torgo_012356,input images kitchen jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,22,METRIC_IMPROVED,7.75,1.0,4.619047619047619,1.0
MC02,control,male,Session1,torgo_012797,pat,patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe pat,patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe pat,patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe pat,patteatreexpandexe patteatreexpandexe pat,METRIC_IMPROVED,7.0,2.0,42.0,12.0
M01,dysarthric,male,Session2_3,torgo_006926,she wore warm fleecy woolen overalls,you wore warm titty wedded over a long coat of woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen,you wore warm titty wedded over a long coat of woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen,you wore warm titty wedded over a long coat of woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen woolen,you wore warm titty wedded over a long coat of woolen,METRIC_IMPROVED,5.5,1.5,5.516129032258065,0.8387096774193549
FC03,control,female,Session2,torgo_005723,we just don't,we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends,we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends,we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends,we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends,METRIC_MISSED_REMAINING_ERROR,14.666666666666666,14.666666666666666,18.545454545454547,18.545454545454547
FC03,control,female,Session1,torgo_004861,xxx,day after day some new ex ex experimentalism is a common thing in life,day after day some new ex ex experimentalism is a common thing in life,day after day some new ex ex experimentalism is a common thing in life,day after day some new ex ex experimentalism is a common thing in life,METRIC_MISSED_REMAINING_ERROR,14.0,14.0,18.0,18.0
FC03,control,female,Session1,torgo_005293,xxx,he further proposed grants of unspecified sums of experience,he further proposed grants of unspecified sums of experience,he further proposed grants of unspecified sums of experience,he further proposed grants of unspecified sums of experience,METRIC_MISSED_REMAINING_ERROR,9.0,9.0,17.0,17.0
FC03,control,female,Session1,torgo_004901,xxx,he further proposed grants of unspecified sums of experimental,he further proposed grants of unspecified sums of experimental,he further proposed grants of unspecified sums of experimental,he further proposed grants of unspecified sums of experimental,METRIC_MISSED_REMAINING_ERROR,9.0,9.0,17.666666666666668,17.666666666666668
FC03,control,female,Session1,torgo_005253,xxx,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,METRIC_MISSED_REMAINING_ERROR,7.0,7.0,42.333333333333336,42.333333333333336
M01,dysarthric,male,Session1,torgo_006616,spark,sparkle getting ready to go to bed,sparkle getting ready to go to bed,sparkle getting ready to go to bed,sparkle getting ready to go to bed,METRIC_MISSED_REMAINING_ERROR,7.0,7.0,4.6,4.6
FC03,control,female,Session1,torgo_005195,xxx,how do you pronounce that,how do you pronounce that,how do you pronounce that,how do you pronounce that,METRIC_MISSED_REMAINING_ERROR,5.0,5.0,7.0,7.0
FC03,control,female,Session1,torgo_005294,xxx,prepare for the next step,prepare for the next step,prepare for the next step,prepare for the next step,METRIC_MISSED_REMAINING_ERROR,5.0,5.0,6.666666666666667,6.666666666666667
M01,dysarthric,male,Session2_3,torgo_006992,witty,reveal yourself to the truth,reveal yourself to the truth,reveal yourself to the truth,reveal yourself to the truth,METRIC_MISSED_REMAINING_ERROR,5.0,5.0,4.4,4.4
M01,dysarthric,male,Session1,torgo_006669,feet,beaten up the beat,beaten up the beat,beaten up the beat,beaten up the beat,METRIC_MISSED_REMAINING_ERROR,4.0,4.0,3.0,3.0
FC03,control,female,Session1,torgo_004997,two,two oh sorry two,two oh sorry two,two oh sorry two,two oh sorry two,METRIC_MISSED_REMAINING_ERROR,3.0,3.0,3.3333333333333335,3.3333333333333335
FC03,control,female,Session1,torgo_004803,xxx,hadn't had that,hadn't had that,hadn't had that,hadn't had that,METRIC_MISSED_REMAINING_ERROR,3.0,3.0,4.333333333333333,4.333333333333333
FC03,control,female,Session2,torgo_005595,gill,jell or suit,jell or suit,jell or suit,jell or suit,METRIC_MISSED_REMAINING_ERROR,3.0,3.0,2.0,2.0
FC03,control,female,Session2,torgo_005600,input images story starters 31 jpg,there is a skunk in the room with the red floor and a painter painting the walls white,there is a skunk in the room with the red floor and a painter painting the walls white,there is a skunk in the room with the red floor and a painter painting the walls white,there is a skunk in the room with the red floor and a painter painting the walls white,METRIC_MISSED_REMAINING_ERROR,3.0,3.0,1.9655172413793103,1.9655172413793103
FC03,control,female,Session1,torgo_005032,swarm,yes we are swarm,yes we are swarm,yes we are swarm,yes we are swarm,METRIC_MISSED_REMAINING_ERROR,3.0,3.0,1.6,1.6
