changed,reason,original,corrected,confidence,row_index,sample_id,word_agent_input,word_corrected,best_candidate,context_gain,original_context_score,candidate_context_score,margin,candidate_count
False,no_positive_context_gain,to,to,0.0,106,torgo_004678,we have often urged him to walk more and smoke less,we have often urged him to walk more and smoke less,,,,,,
False,no_positive_context_gain,to,to,0.0,107,torgo_004679,we have often urged him to walk more and smoke less,we have often urged him to walk more and smoke less,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,115,torgo_004687,one,one,,,,,,
False,no_positive_context_gain,four,four,0.0,117,torgo_004689,four,four,,,,,,
False,no_positive_context_gain,to,to,0.0,121,torgo_004693,i try to tell people in the community,i try to tell people in the community,,,,,,
False,no_positive_context_gain,there,there,0.0,125,torgo_004697,the humidity is overwhelming there,the humidity is overwhelming there,,,,,,
False,no_positive_context_gain,to,to,0.0,129,torgo_004701,if you destroy confidence in banks you do something to the economy he said,if you destroy confidence in banks you do something to the economy he said,,,,,,
False,no_positive_context_gain,for,for,0.0,140,torgo_004712,this was easy for us,this was easy for us,,,,,,
False,no_positive_context_gain,than,than,0.0,142,torgo_004714,she is thinner than i am,she is thinner than i am,,,,,,
False,no_positive_context_gain,than,than,0.0,143,torgo_004715,she is thinner than i am,she is thinner than i am,,,,,,
False,no_positive_context_gain,two,two,0.0,144,torgo_004716,two other cases were also under advisement,two other cases were also under advisement,,,,,,
False,no_positive_context_gain,were,were,0.0,144,torgo_004716,two other cases were also under advisement,two other cases were also under advisement,,,,,,
False,no_positive_context_gain,two,two,0.0,158,torgo_004730,i looked up and noticed two old men,i looked up and noticed two old men,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,159,torgo_004731,you'd be better off taking a cold shower,you'd be better off taking a cold shower,,,,,,
False,no_valid_confusion_candidate,by,by,0.0,169,torgo_004741,jane may earn more money by working hard,jane may earn more money by working hard,,,,,,
False,no_positive_context_gain,where,where,0.0,176,torgo_004748,where were you while we were away,where were you while we were away,,,,,,
False,no_positive_context_gain,were,were,0.0,176,torgo_004748,where were you while we were away,where were you while we were away,,,,,,
False,no_positive_context_gain,were,were,0.0,176,torgo_004748,where were you while we were away,where were you while we were away,,,,,,
False,no_positive_context_gain,knew,knew,0.0,177,torgo_004749,knew,knew,,,,,,
False,no_positive_context_gain,your,your,0.0,179,torgo_004751,are your grades higher or lower than nancy's,are your grades higher or lower than nancy's,,,,,,
False,no_positive_context_gain,than,than,0.0,179,torgo_004751,are your grades higher or lower than nancy's,are your grades higher or lower than nancy's,,,,,,
False,no_positive_context_gain,no,no,0.0,183,torgo_004755,no,no,,,,,,
False,no_positive_context_gain,write,write,0.0,184,torgo_004756,write,write,,,,,,
False,no_positive_context_gain,you're,you're,0.0,187,torgo_004759,you're used to being on the field,you're used to being on the field,,,,,,
False,no_positive_context_gain,to,to,0.0,187,torgo_004759,you're used to being on the field,you're used to being on the field,,,,,,
False,no_positive_context_gain,four,four,0.0,194,torgo_004766,four,four,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,195,torgo_004767,just one side got wet,just one side got wet,,,,,,
False,no_positive_context_gain,to,to,0.0,201,torgo_004773,i just try to do my best,i just try to do my best,,,,,,
False,no_positive_context_gain,write,write,0.0,206,torgo_004778,write,write,,,,,,
False,no_positive_context_gain,write,write,0.0,207,torgo_004779,write,write,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,217,torgo_004789,one validated acts of school districts,one validated acts of school districts,,,,,,
False,no_positive_context_gain,their,their,0.0,228,torgo_004800,their house is grey and white,their house is grey and white,,,,,,
False,no_positive_context_gain,their,their,0.0,229,torgo_004801,their house is grey and white,their house is grey and white,,,,,,
False,no_positive_context_gain,no,no,0.0,246,torgo_004818,no,no,,,,,,
False,no_positive_context_gain,for,for,0.0,258,torgo_004830,alfalfa is healthy for you,alfalfa is healthy for you,,,,,,
False,rejected_low_confidence,you're,you're,0.15979590674321645,269,torgo_004841,if you're losing water replace it immediately,if you're losing water replace it immediately,your,0.08345785735678615,0.12824746787307684,0.211705325229863,0.15979590674321645,1.0
False,no_valid_confusion_candidate,our,our,0.0,276,torgo_004848,the dolphins swam around our boat,the dolphins swam around our boat,,,,,,
False,no_positive_context_gain,to,to,0.0,284,torgo_004856,nothing has been done yet to take advantage of the enabling legislation,nothing has been done yet to take advantage of the enabling legislation,,,,,,
False,no_positive_context_gain,to,to,0.0,286,torgo_004858,we rode horseback to the farm,we rode horseback to the farm,,,,,,
False,no_positive_context_gain,new,new,0.0,289,torgo_004861,day after day some new ex ex experimentalism is a common thing in life,day after day some new ex ex experimentalism is a common thing in life,,,,,,
False,no_positive_context_gain,new,new,0.0,290,torgo_004862,day after day some new episode is reported,day after day some new episode is reported,,,,,,
False,no_positive_context_gain,for,for,0.0,293,torgo_004865,the little boy is building a house for his dog,the little boy is building a house for his dog,,,,,,
False,no_positive_context_gain,were,were,0.0,298,torgo_004870,both injuries were to the same leg,both injuries were to the same leg,,,,,,
False,no_positive_context_gain,to,to,0.0,298,torgo_004870,both injuries were to the same leg,both injuries were to the same leg,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,304,torgo_004876,aluminum silverware can often be flimsy,aluminum silverware can often be flimsy,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,305,torgo_004877,aluminum silverware can often be flimsy,aluminum silverware can often be flimsy,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,306,torgo_004878,aluminum silverware can often be flimsy,aluminum silverware can often be flimsy,,,,,,
False,no_positive_context_gain,your,your,0.0,307,torgo_004879,swing your arm as high as you can,swing your arm as high as you can,,,,,,
False,no_positive_context_gain,four,four,0.0,314,torgo_004886,the four thursday's exam review every formula,the four thursday's exam review every formula,,,,,,
False,no_positive_context_gain,for,for,0.0,316,torgo_004888,it was a good win for us,it was a good win for us,,,,,,
False,no_positive_context_gain,for,for,0.0,317,torgo_004889,it was a good win for us,it was a good win for us,,,,,,
False,no_positive_context_gain,for,for,0.0,330,torgo_004902,he further proposed grants of an unspecified sum for experimental hospitals,he further proposed grants of an unspecified sum for experimental hospitals,,,,,,
False,no_positive_context_gain,there,there,0.0,337,torgo_004909,there is a treehouse up above,there is a treehouse up above,,,,,,
False,no_positive_context_gain,for,for,0.0,338,torgo_004910,this is a period of transition for me,this is a period of transition for me,,,,,,
False,no_positive_context_gain,for,for,0.0,357,torgo_004929,it also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help colleges build dormitories,,,,,,
False,no_positive_context_gain,to,to,0.0,357,torgo_004929,it also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help colleges build dormitories,,,,,,
False,no_positive_context_gain,for,for,0.0,358,torgo_004930,it also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help colleges build dormitories,,,,,,
False,no_positive_context_gain,to,to,0.0,358,torgo_004930,it also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help colleges build dormitories,,,,,,
False,no_positive_context_gain,their,their,0.0,385,torgo_004957,the misguided souls have lost their way,the misguided souls have lost their way,,,,,,
False,no_positive_context_gain,no,no,0.0,388,torgo_004960,no,no,,,,,,
False,no_positive_context_gain,no,no,0.0,391,torgo_004963,no,no,,,,,,
False,no_positive_context_gain,knew,knew,0.0,401,torgo_004973,knew,knew,,,,,,
False,no_positive_context_gain,to,to,0.0,417,torgo_004989,grandfather likes to be modern in his language,grandfather likes to be modern in his language,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,417,torgo_004989,grandfather likes to be modern in his language,grandfather likes to be modern in his language,,,,,,
False,no_positive_context_gain,two,two,0.0,425,torgo_004997,two oh sorry two,two oh sorry two,,,,,,
False,no_positive_context_gain,two,two,0.0,425,torgo_004997,two oh sorry two,two oh sorry two,,,,,,
False,no_positive_context_gain,write,write,0.0,439,torgo_005011,write,write,,,,,,
False,no_positive_context_gain,to,to,0.0,441,torgo_005013,you wished to know all about my grandfather,you wished to know all about my grandfather,,,,,,
False,no_positive_context_gain,know,know,0.0,441,torgo_005013,you wished to know all about my grandfather,you wished to know all about my grandfather,,,,,,
False,no_positive_context_gain,no,no,0.0,448,torgo_005020,no,no,,,,,,
False,no_positive_context_gain,to,to,0.0,470,torgo_005042,a long flowing beard clings to his chin,a long flowing beard clings to his chin,,,,,,
False,no_positive_context_gain,to,to,0.0,478,torgo_005050,don't ask me to carry an oily rag like that,don't ask me to carry an oily rag like that,,,,,,
False,no_positive_context_gain,knew,knew,0.0,487,torgo_005059,knew,knew,,,,,,
False,no_valid_confusion_candidate,our,our,0.0,490,torgo_005062,twice each day he plays skillfully and with zest upon our small organ,twice each day he plays skillfully and with zest upon our small organ,,,,,,
False,no_positive_context_gain,to,to,0.0,496,torgo_005068,we have often urged him to walk more and smoke less,we have often urged him to walk more and smoke less,,,,,,
False,no_positive_context_gain,to,to,0.0,497,torgo_005069,we have often urged him to walk more and smoke less,we have often urged him to walk more and smoke less,,,,,,
False,no_positive_context_gain,four,four,0.0,498,torgo_005070,four,four,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,505,torgo_005077,one,one,,,,,,
False,no_positive_context_gain,to,to,0.0,511,torgo_005083,i tried to tell people in the community,i tried to tell people in the community,,,,,,
False,no_positive_context_gain,there,there,0.0,515,torgo_005087,the humidity is overwhelming there,the humidity is overwhelming there,,,,,,
False,no_positive_context_gain,to,to,0.0,519,torgo_005091,if you destroy confidence in banks you do something to the economy he said,if you destroy confidence in banks you do something to the economy he said,,,,,,
False,rejected_low_confidence,where,where,0.3413522643552752,524,torgo_005096,where,where,were,0.7372692952840447,0.8041421662664583,1.541411461550503,0.3413522643552752,1.0
False,no_positive_context_gain,for,for,0.0,530,torgo_005102,this was easy for us,this was easy for us,,,,,,
False,no_positive_context_gain,than,than,0.0,532,torgo_005104,she is thinner than i am,she is thinner than i am,,,,,,
False,no_positive_context_gain,than,than,0.0,533,torgo_005105,she is thinner than i am,she is thinner than i am,,,,,,
False,no_positive_context_gain,two,two,0.0,534,torgo_005106,two other cases were also under advisement,two other cases were also under advisement,,,,,,
False,no_positive_context_gain,were,were,0.0,534,torgo_005106,two other cases were also under advisement,two other cases were also under advisement,,,,,,
False,no_positive_context_gain,two,two,0.0,548,torgo_005120,i looked up and noticed two old men,i looked up and noticed two old men,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,549,torgo_005121,you'd be better off taking a cold shower,you'd be better off taking a cold shower,,,,,,
False,no_valid_confusion_candidate,by,by,0.0,559,torgo_005131,jane may earn more money by working hard,jane may earn more money by working hard,,,,,,
False,no_positive_context_gain,where,where,0.0,566,torgo_005138,where were you while we were away,where were you while we were away,,,,,,
False,no_positive_context_gain,were,were,0.0,566,torgo_005138,where were you while we were away,where were you while we were away,,,,,,
False,no_positive_context_gain,were,were,0.0,566,torgo_005138,where were you while we were away,where were you while we were away,,,,,,
False,no_positive_context_gain,knew,knew,0.0,567,torgo_005139,knew,knew,,,,,,
False,no_positive_context_gain,your,your,0.0,569,torgo_005141,are your grades higher or lower than nancy's,are your grades higher or lower than nancy's,,,,,,
False,no_positive_context_gain,than,than,0.0,569,torgo_005141,are your grades higher or lower than nancy's,are your grades higher or lower than nancy's,,,,,,
False,no_positive_context_gain,no,no,0.0,573,torgo_005145,no,no,,,,,,
False,no_positive_context_gain,write,write,0.0,574,torgo_005146,write,write,,,,,,
False,no_positive_context_gain,you're,you're,0.0,577,torgo_005149,you're used to being on the field,you're used to being on the field,,,,,,
False,no_positive_context_gain,to,to,0.0,577,torgo_005149,you're used to being on the field,you're used to being on the field,,,,,,
False,no_positive_context_gain,four,four,0.0,586,torgo_005158,four,four,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,587,torgo_005159,just one side got wet,just one side got wet,,,,,,
False,no_positive_context_gain,to,to,0.0,593,torgo_005165,i just try to do my best,i just try to do my best,,,,,,
False,no_positive_context_gain,write,write,0.0,598,torgo_005170,write,write,,,,,,
False,no_positive_context_gain,write,write,0.0,599,torgo_005171,write,write,,,,,,
False,no_positive_context_gain,ate,ate,0.0,605,torgo_005177,ate,ate,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,609,torgo_005181,one validated acts of school districts,one validated acts of school districts,,,,,,
False,no_positive_context_gain,their,their,0.0,620,torgo_005192,their house is grey and white,their house is grey and white,,,,,,
False,no_positive_context_gain,their,their,0.0,621,torgo_005193,their house is grey and white,their house is grey and white,,,,,,
False,no_positive_context_gain,no,no,0.0,638,torgo_005210,no,no,,,,,,
False,no_positive_context_gain,for,for,0.0,650,torgo_005222,alfalfa is healthy for you,alfalfa is healthy for you,,,,,,
False,rejected_low_confidence,you're,you're,0.15979590674321645,661,torgo_005233,if you're losing water replace it immediately,if you're losing water replace it immediately,your,0.08345785735678615,0.12824746787307684,0.211705325229863,0.15979590674321645,1.0
False,no_valid_confusion_candidate,our,our,0.0,668,torgo_005240,the dolphins swam around our boat,the dolphins swam around our boat,,,,,,
False,no_positive_context_gain,to,to,0.0,676,torgo_005248,nothing has been done yet to take advantage of the enabling legislation,nothing has been done yet to take advantage of the enabling legislation,,,,,,
False,no_positive_context_gain,to,to,0.0,678,torgo_005250,we rode horseback to the farm,we rode horseback to the farm,,,,,,
False,no_positive_context_gain,new,new,0.0,681,torgo_005253,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,,,,
False,no_positive_context_gain,new,new,0.0,682,torgo_005254,day after day some new episode is reported,day after day some new episode is reported,,,,,,
False,no_positive_context_gain,were,were,0.0,690,torgo_005262,both injuries were to the same leg,both injuries were to the same leg,,,,,,
False,no_positive_context_gain,to,to,0.0,690,torgo_005262,both injuries were to the same leg,both injuries were to the same leg,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,696,torgo_005268,aluminum silverware can often be flimsy,aluminum silverware can often be flimsy,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,697,torgo_005269,aluminum silverware can often be flimsy,aluminum silverware can often be flimsy,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,698,torgo_005270,aluminum silverware can often be flimsy,aluminum silverware can often be flimsy,,,,,,
False,no_positive_context_gain,your,your,0.0,699,torgo_005271,swing your arm as high as you can,swing your arm as high as you can,,,,,,
False,no_positive_context_gain,for,for,0.0,708,torgo_005280,it was a good win for us,it was a good win for us,,,,,,
False,no_positive_context_gain,for,for,0.0,709,torgo_005281,it was a good win for us,it was a good win for us,,,,,,
False,no_positive_context_gain,for,for,0.0,722,torgo_005294,prepared for the next step,prepared for the next step,,,,,,
False,no_positive_context_gain,for,for,0.0,723,torgo_005295,he further proposed grants of an unspecified sum for experimental hospitals,he further proposed grants of an unspecified sum for experimental hospitals,,,,,,
False,no_positive_context_gain,there,there,0.0,730,torgo_005302,there is a treehouse up above,there is a treehouse up above,,,,,,
False,no_positive_context_gain,for,for,0.0,731,torgo_005303,this is a period of transition for me,this is a period of transition for me,,,,,,
False,no_positive_context_gain,for,for,0.0,750,torgo_005322,it also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help colleges build dormitories,,,,,,
False,no_positive_context_gain,to,to,0.0,750,torgo_005322,it also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help colleges build dormitories,,,,,,
False,no_positive_context_gain,for,for,0.0,751,torgo_005323,it also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help colleges build dormitories,,,,,,
False,no_positive_context_gain,to,to,0.0,751,torgo_005323,it also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help colleges build dormitories,,,,,,
False,no_positive_context_gain,their,their,0.0,778,torgo_005350,the misguided souls have lost their way,the misguided souls have lost their way,,,,,,
False,no_positive_context_gain,no,no,0.0,781,torgo_005353,no,no,,,,,,
False,no_positive_context_gain,for,for,0.0,793,torgo_005365,the wait for work can be very long,the wait for work can be very long,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,793,torgo_005365,the wait for work can be very long,the wait for work can be very long,,,,,,
False,no_positive_context_gain,for,for,0.0,795,torgo_005367,he really crucified himself he nailed it for a yard loss,he really crucified himself he nailed it for a yard loss,,,,,,
False,no_positive_context_gain,for,for,0.0,796,torgo_005368,he really crucified him he nailed it for a yard loss,he really crucified him he nailed it for a yard loss,,,,,,
False,no_valid_confusion_candidate,it's,it's,0.0,804,torgo_005376,it's fun to roast marshmallows on a gas burner,it's fun to roast marshmallows on a gas burner,,,,,,
False,no_positive_context_gain,to,to,0.0,804,torgo_005376,it's fun to roast marshmallows on a gas burner,it's fun to roast marshmallows on a gas burner,,,,,,
False,no_positive_context_gain,then,then,0.0,807,torgo_005379,then we'd really have someplace to go,then we'd really have someplace to go,,,,,,
False,no_positive_context_gain,to,to,0.0,807,torgo_005379,then we'd really have someplace to go,then we'd really have someplace to go,,,,,,
False,no_positive_context_gain,to,to,0.0,833,torgo_005405,being able to dance can help too,being able to dance can help too,,,,,,
False,no_positive_context_gain,too,too,0.0,833,torgo_005405,being able to dance can help too,being able to dance can help too,,,,,,
False,no_positive_context_gain,four,four,0.0,841,torgo_005413,four,four,,,,,,
False,no_positive_context_gain,to,to,0.0,842,torgo_005414,i'm willing to experiment for the first time,i'm willing to experiment for the first time,,,,,,
False,no_positive_context_gain,for,for,0.0,842,torgo_005414,i'm willing to experiment for the first time,i'm willing to experiment for the first time,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,846,torgo_005418,one,one,,,,,,
False,no_positive_context_gain,no,no,0.0,851,torgo_005423,no,no,,,,,,
False,no_positive_context_gain,two,two,0.0,870,torgo_005442,two,two,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,871,torgo_005443,he took me out one day,he took me out one day,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,876,torgo_005448,each one volunteered to jump first,each one volunteered to jump first,,,,,,
False,no_positive_context_gain,to,to,0.0,876,torgo_005448,each one volunteered to jump first,each one volunteered to jump first,,,,,,
False,no_positive_context_gain,to,to,0.0,878,torgo_005450,help greg to pick a peck of potatoes,help greg to pick a peck of potatoes,,,,,,
False,no_positive_context_gain,to,to,0.0,880,torgo_005452,you want him to do well,you want him to do well,,,,,,
False,no_positive_context_gain,new,new,0.0,881,torgo_005453,the pair of shoes was new,the pair of shoes was new,,,,,,
False,no_positive_context_gain,for,for,0.0,882,torgo_005454,beg that guard for one gallon of gas,beg that guard for one gallon of gas,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,882,torgo_005454,beg that guard for one gallon of gas,beg that guard for one gallon of gas,,,,,,
False,no_positive_context_gain,to,to,0.0,884,torgo_005456,gadget calico cat to keep,gadget calico cat to keep,,,,,,
False,no_positive_context_gain,to,to,0.0,891,torgo_005463,nobody really expects to evacuate,nobody really expects to evacuate,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,894,torgo_005466,the prospect of cutting back spending is an unpleasant one for any governor,the prospect of cutting back spending is an unpleasant one for any governor,,,,,,
False,no_positive_context_gain,for,for,0.0,894,torgo_005466,the prospect of cutting back spending is an unpleasant one for any governor,the prospect of cutting back spending is an unpleasant one for any governor,,,,,,
False,no_positive_context_gain,write,write,0.0,895,torgo_005467,write,write,,,,,,
False,no_valid_confusion_candidate,our,our,0.0,909,torgo_005481,in fact our whole defensive unit did a good job,in fact our whole defensive unit did a good job,,,,,,
False,no_positive_context_gain,write,write,0.0,912,torgo_005484,write,write,,,,,,
False,no_positive_context_gain,were,were,0.0,926,torgo_005498,the results were very disappointing,the results were very disappointing,,,,,,
False,no_positive_context_gain,four,four,0.0,927,torgo_005499,four,four,,,,,,
False,no_positive_context_gain,to,to,0.0,938,torgo_005510,she doesn't like to have hanging around,she doesn't like to have hanging around,,,,,,
False,no_positive_context_gain,there,there,0.0,939,torgo_005511,there is definitely some ligament damage in his knee,there is definitely some ligament damage in his knee,,,,,,
False,no_positive_context_gain,see,see,0.0,946,torgo_005518,see,see,,,,,,
False,no_positive_context_gain,there,there,0.0,948,torgo_005520,he played basketball there while working toward a law degree,he played basketball there while working toward a law degree,,,,,,
False,no_positive_context_gain,your,your,0.0,958,torgo_005530,help celebrate your brother's success,help celebrate your brother's success,,,,,,
False,no_positive_context_gain,where,where,0.0,970,torgo_005542,we selected places where families will be welcome,we selected places where families will be welcome,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,970,torgo_005542,we selected places where families will be welcome,we selected places where families will be welcome,,,,,,
False,no_positive_context_gain,there,there,0.0,975,torgo_005547,there was only one decision to be made,there was only one decision to be made,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,975,torgo_005547,there was only one decision to be made,there was only one decision to be made,,,,,,
False,no_positive_context_gain,to,to,0.0,975,torgo_005547,there was only one decision to be made,there was only one decision to be made,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,975,torgo_005547,there was only one decision to be made,there was only one decision to be made,,,,,,
False,no_positive_context_gain,four,four,0.0,985,torgo_005557,the four brothers looked identical,the four brothers looked identical,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,1004,torgo_005576,trespassers can be prosecuted and fined,trespassers can be prosecuted and fined,,,,,,
False,no_positive_context_gain,no,no,0.0,1009,torgo_005581,no,no,,,,,,
False,no_positive_context_gain,to,to,0.0,1017,torgo_005589,i scream to warm up my voice,i scream to warm up my voice,,,,,,
False,no_positive_context_gain,two,two,0.0,1022,torgo_005594,i called two different painters,i called two different painters,,,,,,
False,no_positive_context_gain,there,there,0.0,1028,torgo_005600,there is a skunk in the room with the red floor and a painters paintings the walls white,there is a skunk in the room with the red floor and a painters paintings the walls white,,,,,,
False,no_positive_context_gain,for,for,0.0,1031,torgo_005603,he asked you for a loan,he asked you for a loan,,,,,,
False,no_positive_context_gain,no,no,0.0,1050,torgo_005622,it requires no big investment,it requires no big investment,,,,,,
False,no_positive_context_gain,than,than,0.0,1064,torgo_005636,those people are much quicker than i am,those people are much quicker than i am,,,,,,
False,no_positive_context_gain,to,to,0.0,1066,torgo_005638,her position covers a number of daily tasks common to any social director,her position covers a number of daily tasks common to any social director,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,1068,torgo_005640,basketball can be an entertaining sport,basketball can be an entertaining sport,,,,,,
False,no_positive_context_gain,see,see,0.0,1070,torgo_005642,see,see,,,,,,
False,no_valid_confusion_candidate,by,by,0.0,1075,torgo_005647,so if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above,,,,,,
False,no_positive_context_gain,to,to,0.0,1075,torgo_005647,so if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above,,,,,,
False,no_positive_context_gain,for,for,0.0,1081,torgo_005653,i haven't seen that friend for years,i haven't seen that friend for years,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,1090,torgo_005662,i also can be quite vocal,i also can be quite vocal,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,1096,torgo_005668,one,one,,,,,,
False,no_positive_context_gain,four,four,0.0,1110,torgo_005682,four,four,,,,,,
False,no_valid_confusion_candidate,our,our,0.0,1121,torgo_005693,it was very popular with our fans,it was very popular with our fans,,,,,,
False,no_positive_context_gain,see,see,0.0,1127,torgo_005699,see,see,,,,,,
False,no_positive_context_gain,two,two,0.0,1132,torgo_005704,two,two,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,1137,torgo_005709,gold can be found anywhere,gold can be found anywhere,,,,,,
False,no_valid_confusion_candidate,it's,it's,0.0,1143,torgo_005715,i don't think it's a good idea,i don't think it's a good idea,,,,,,
False,no_positive_context_gain,to,to,0.0,1158,torgo_005730,worse luck was still to come,worse luck was still to come,,,,,,
False,no_positive_context_gain,two,two,0.0,1159,torgo_005731,two,two,,,,,,
False,no_positive_context_gain,for,for,0.0,1176,torgo_005748,the wait for work can be very long,the wait for work can be very long,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,1176,torgo_005748,the wait for work can be very long,the wait for work can be very long,,,,,,
False,no_positive_context_gain,for,for,0.0,1178,torgo_005750,he really crucified himself he nailed it for a yard loss,he really crucified himself he nailed it for a yard loss,,,,,,
False,no_positive_context_gain,for,for,0.0,1179,torgo_005751,he really crucified him he nailed it for a yard loss,he really crucified him he nailed it for a yard loss,,,,,,
False,no_valid_confusion_candidate,it's,it's,0.0,1187,torgo_005759,it's fun to roast marshmallows on a gas burner,it's fun to roast marshmallows on a gas burner,,,,,,
False,no_positive_context_gain,to,to,0.0,1187,torgo_005759,it's fun to roast marshmallows on a gas burner,it's fun to roast marshmallows on a gas burner,,,,,,
False,no_positive_context_gain,then,then,0.0,1190,torgo_005762,then we'd really have someplace to go,then we'd really have someplace to go,,,,,,
False,no_positive_context_gain,to,to,0.0,1190,torgo_005762,then we'd really have someplace to go,then we'd really have someplace to go,,,,,,
False,no_positive_context_gain,to,to,0.0,1216,torgo_005788,being able to dance can help too,being able to dance can help too,,,,,,
False,no_positive_context_gain,too,too,0.0,1216,torgo_005788,being able to dance can help too,being able to dance can help too,,,,,,
False,no_positive_context_gain,four,four,0.0,1224,torgo_005796,four,four,,,,,,
False,no_positive_context_gain,to,to,0.0,1225,torgo_005797,i'm willing to experiment for the first time,i'm willing to experiment for the first time,,,,,,
False,no_positive_context_gain,for,for,0.0,1225,torgo_005797,i'm willing to experiment for the first time,i'm willing to experiment for the first time,,,,,,
False,no_valid_confusion_candidate,one,one,0.0,1229,torgo_005801,one,one,,,,,,
False,no_positive_context_gain,no,no,0.0,1234,torgo_005806,no,no,,,,,,
